code,name,block,part,variant,position,subpos,profile
Б2.П.1,Производственная (НИР),Б2,П,0,1,0,Логистика
Б2.П.2,Производственная (технологическая),Б2,П,0,2,0,Логистика
Б2.П.3,"Производственная (научно-исследовательская, преддипломная)",Б2,П,0,3,0,Логистика
Б3,Государственная итоговая аттестация,Б3,0,0,0,0,Логистика
Б1.Б.1.1,Иностранный язык,Б1,Б,0,1,1,Маркетинг
Б1.Б.1.2,Иностранный язык (деловой),Б1,Б,0,1,2,Маркетинг
Б1.Б.1.3,Иностранный язык (проф. перевод),Б1,Б,0,1,3,Маркетинг
Б1.Б.2,История,Б1,Б,0,2,0,Маркетинг
Б1.Б.3,Философия,Б1,Б,0,3,0,Маркетинг
Б1.Б.4.1,Экономическая теория,Б1,Б,0,4,1,Маркетинг
Б1.Б.4.2,Экономическая теория (доп. главы),Б1,Б,0,4,2,Маркетинг
Б1.Б.5,Русский язык,Б1,Б,0,5,0,Маркетинг
Б1.Б.6,Математика,Б1,Б,0,6,0,Маркетинг
Б1.Б.7,Информатика,Б1,Б,0,7,0,Маркетинг
Б1.Б.8,Экология,Б1,Б,0,8,0,Маркетинг
Б1.Б.9,Безопасность жизнедеятельности,Б1,Б,0,9,0,Маркетинг
Б1.Б.10,Менеджмент,Б1,Б,0,10,0,Маркетинг
Б1.Б.11,Маркетинг,Б1,Б,0,11,0,Маркетинг
Б1.Б.12,Статистика,Б1,Б,0,12,0,Маркетинг
Б1.Б.13,Экономика организации,Б1,Б,0,13,0,Маркетинг
Б1.Б.14,Бухгалтерский учет,Б1,Б,0,14,0,Маркетинг
Б1.Б.15,Коммерческая деятельность,Б1,Б,0,15,0,Маркетинг
Б1.Б.16,"Стандартизация, метрология, подтверждение соответствия",Б1,Б,0,16,0,Маркетинг
Б1.Б.17,Теоретические основы товароведения,Б1,Б,0,17,0,Маркетинг
Б1.Б.18,Логистика,Б1,Б,0,18,0,Маркетинг
Б1.Б.19,Правовое регулирование профессиональной деятельности,Б1,Б,0,19,0,Маркетинг
Б1.Б.20,Рекламная деятельность,Б1,Б,0,20,0,Маркетинг
Б1.Б.21,"Организация, технология и проектирование предприятий",Б1,Б,0,21,0,Маркетинг
Б1.Б.22,Информационные технологии в профессиональной деятельности,Б1,Б,0,22,0,Маркетинг
Б1.Б.23,Физическая культура,Б1,Б,0,23,0,Маркетинг
Б1.В.ОД.1,Социология,Б1,В,OД,1,0,Маркетинг
Б1.В.ОД.2,Правоведение,Б1,В,OД,2,0,Маркетинг
Б1.В.ОД.3,Теория и практика кооперации,Б1,В,OД,3,0,Маркетинг
Б1.В.ОД.4,Основы экономического анализа,Б1,В,OД,4,0,Маркетинг
Б1.В.ОД.5,Оценка эффективности комерческих инноваций,Б1,В,OД,5,0,Маркетинг
Б1.В.ОД.6,Бизнес-планирование,Б1,В,OД,6,0,Маркетинг
Б1.В.ОД.7,Компьютерное моделирование в профессиональной деятельности,Б1,В,OД,7,0,Маркетинг
Б1.В.ОД.8,Программные средства офисного назначения,Б1,В,OД,8,0,Маркетинг
Б1.В.ОД.9,Математические методы в маркетинге,Б1,В,OД,9,0,Маркетинг
Б1.В.ОД.10,Управление маркетингом,Б1,В,OД,10,0,Маркетинг
Б1.В.ОД.11,Маркетинговые исследования,Б1,В,OД,11,0,Маркетинг
Б1.В.ОД.12,Ценообразование,Б1,В,OД,12,0,Маркетинг
Б1.В.ОД.13,Электронная коммерция,Б1,В,OД,13,0,Маркетинг
Б1.В.ОД.14,Международный маркетинг,Б1,В,OД,14,0,Маркетинг
Б1.В.ОД.15,Интегрированные маркетинговые коммуникации,Б1,В,OД,15,0,Маркетинг
Б1.В.ОД.16.1,Товароведение товаров продовольственных групп,Б1,В,OД,16,1,Маркетинг
Б1.В.ОД.16.2,Товароведение товаров непродовольственных групп,Б1,В,OД,16,2,Маркетинг
Б1.В.ОД.16.3,Товароведение товаров промышленных групп,Б1,В,OД,16,3,Маркетинг
Б1.В.ОД.17,Маркетинг торговой деятельности,Б1,В,OД,17,0,Маркетинг
Б1.В.ОД.18,Поведение потребителя,Б1,В,OД,18,0,Маркетинг
Б1.В.ОД.19,Налоги и налогообложение,Б1,В,OД,19,0,Маркетинг
Б1.В.ОД.20,"Финансы, денежное обращение и кредит",Б1,В,OД,20,0,Маркетинг
Б1.В.ОД.21,Маркетинг в промышленности,Б1,В,OД,21,0,Маркетинг
NA,Прикладная физическая культура,Б1,В,ДВ,0,0,Маркетинг
Б1.В.ДВ.1.1,История (в проф. области),Б1,В,ДВ,1,1,Маркетинг
Б1.В.ДВ.1.2,Философия эк,Б1,В,ДВ,1,2,Маркетинг
Б1.В.ДВ.2.1,Этика делового общения,Б1,В,ДВ,2,1,Маркетинг
Б1.В.ДВ.2.2,Политология,Б1,В,ДВ,2,2,Маркетинг
